연번,노선번호,노선ID,정류소번호,nodeId,nodeNm,lat,lon,mean_wait,p95_wait,std_wait,cv_interval,sample_count,score,transfer_risk,facility_score,hospital_cnt,welfare_cnt,school_cnt,grade,정류장명
2,201,SJB293000274,52034,SJB293062012,정부세종청사북측,36.5048938,127.2616877,10.587669967122954,31.768747531812785,5.997668427546128,0.7884970445595642,18,0.664797631545642,0.7383039408110226,0.3282828282828283,65,0.0,0,E,정부세종청사북측
4,B0,SJB293000303,51111,SJB293064210,세종시청.교육청.시의회,36.478356,127.288188,8.47283981060443,34.20483569786804,4.903961783750308,0.687426276486209,11,0.6531181989055473,0.8080825650674088,0.20505050505050507,1,0.0,79,E,세종시청.교육청.시의회
20,82,SJB293000247,37063,SJB293019057,원성2리,36.67103,127.19527,12.946985689808129,34.88593790478275,5.8361878358557595,0.7154956893099047,4,0.6430636193590381,0.8725073137598369,0.0,0,0.0,0,E,원성2리
22,203,SJB293000269,61049,SJB293064373,다정고등학교(가온마을1단지),36.4927929,127.2431235,11.30274237231232,34.127967410901135,5.917783510743648,0.7569375107499082,14,0.6414881049131361,0.849204948396637,0.0,0,0.0,0,E,다정고등학교(가온마을1단지)
18,910,SJB293000229,38053,SJB293018082,심중1리,36.64456,127.27603,9.594346587884827,33.17502419810738,7.427673606728059,0.7854060885704309,17,0.6412748030304174,0.8540007372805406,0.0,0,0.0,0,E,심중1리
27,12,SJB293000181,11069,SJB293001085,세종중학교,36.60591,127.29721,8.035200749133478,24.182805490722586,4.289917877105556,0.7816602893500046,9,0.6237070362181126,0.8312386481411492,0.39654775604142695,72,0.0,13,E,세종중학교
14,221,SJB293000279,52001,SJB293062016,도램마을9단지,36.5084834,127.2624829,11.352357560099676,28.461230231283164,1.1352934164232074,0.691266136363157,17,0.6179722863791574,0.7947621196146382,0.3282828282828283,65,0.0,0,E,도램마을9단지
8,81,SJB293000245,37062,SJB293019064,원성리(죽근마을),36.67622,127.19936,11.33635765025312,32.951913804978766,1.1006701225045952,0.7029926322668623,18,0.6173704787515847,0.8615584772062156,0.0,0,0.0,0,E,원성리(죽근마을)
20,69,SJB293000208,61019,SJB186004397,신동,36.47515,127.36999,11.359809886522708,32.66093633361027,2.6907578919117725,0.7120151338959565,10,0.6094407133850941,0.8311872984908242,0.0,0,0.0,0,E,신동
33,33,SJB293000220,32015,SJB293015076,명학2리(용당),36.52015,127.35409,9.445278501822573,33.43470166242797,7.613153811481558,0.7356129817951637,16,0.606258166731926,0.7604580368439493,0.0,0,0.0,0,E,명학2리(용당)
